BL record ID,title,label
14605643,An Elegy written among the ruins of an Abbey. By the author of the Nun [E. Jerningham],0
14616539,The Baron's Daughter. A ballad by the author of Poetical Recreations [i.e. William C. Hazlitt] . F.P,0
14616550,"A Little Book of Verse, etc",0
14616561,The Autumn Leaf Poems,0
14616607,"The Battle of Waterloo, a poem",0
14616686,"Maximilian, and other poems, etc",0
14616696,Fabellæ mostellariæ: or Devonshire and Wiltshire stories in verse; including specimens of the Devonshire dialect,0
14616791,"The Grave of a Hamlet and other poems, chiefly of the Hebrides ... Selected, with an introduction, by his son J. Hogben",0
14616823,Plays for my Pupils. In prose and verse,0
14616840,"Sporting Songs, etc [Words only.]",0
14616869,Sonnets,0
14616941,Lyrics. By Nomad,0
14617054,"Songs of a Heart's Surrender, and other verse",0
14617070,"The Dual Image; or, the Renewal of the Temple. A mystical poem of life",0
14617094,'Shall he live again?' [A poem.],0
14617137,Trick for Trick or the Admiral's Daughter. A farce in two acts,0
14617192,The Equality of Mankind,0
14622865,"A critique on the performance of Master Herbert, the Youthful Roscius [By John Cole.]",1
14622976,"Sailing Directions for the S.C. and its entrances at Port Saïd and Suez, with short notes on the Gulf of Suez, Jubal Strait, etc",1
14628768,"'Little Feet.' [A collection of verses, with illustrations.]",0
14635292,Little Betty's Kitten tells her Story,0
14643463,Verses,0
14643548,Ver Lyræ. Selected poems ... With seven new lyrics,0
14750925,"Guide for Tourists to Peking and its environs. With a plan, etc",1
14750943,"The Social Emancipation of the Gipsies, especially those of mixed blood, and resembling and living like other people, etc",1
14750976,"A Hand-Book to Auckland, New Zealand",1
14756105,"Guide to Sevenoaks and the neighbourhood, by Cid",1
14756114,"The Ethnological Exhibitions of London, etc",1
14756128,Route for a Month's Tour through the Alps of Switzerland,1
14756153,"Observation on improvements of the town of Manchester, etc",1
14756244,"Widford and Widford Church, Hertfordshire ... With an explanation of her recently completed painting by F. C. H. Gosselin",1
14756277,"Penzance; past and present. A lecture ... Illustrated, etc",1
14756278,Penzance. ... A second lecture ... With ... additional matter. Illustrated with wood engravings,1
14756365,The Social Emancipation of the Gipsies [Articles reprinted from the London 'Journal of Science.'],1
14756401,"A Visit to Vaucluse, Nismes, Orange, Pont-du-Gard, Avignon, Marseilles, &c. &c. in May MDCCCXXI. By the Author of the Trimester in MDCCCXX [S. Weston.]",1
14767508,"The Best Cruise on the Broads. With useful hints on hiring, provisioning and manning the yacht; clothing; angling; photography, etc ... Illustrated by the author",1
14767697,"How to Obtain Cheap Flour; or, a few remarks upon the objects ... to be gained from the establishment of co-operative flour-mills ... By An Unobserved Observer",1
14767713,"The Old Churchyards of Sheffield, with a brief selection of quaint epitaphs therein",1
14767725,"Ye Auncient Citie of Durham in Ye Olden Tyme. Descriptive, historical, traditional",1
14767753,On the Ancient Name of Dublin,1
14767796,"Repton: Village, Abbey, Church, Priory, and School",1
14767799,"Broxbourne Past and Present, etc [With plates.]",1
14767837,"Eltham Palace, Kent. A paper, etc",1
14767855,"Harborne and Its Surroundings: a lecture, etc",1
14767858,"The Historie of Darby-shire. By P. K. With pedigree of the Kynder Family. From 'The Reliquary,' and Ashmole MS. 788. Edited by ... W.G. D. Fletcher",1
14767897,Wensleydale and Swaledale Guide ... Illustrated,1
14767905,"Gems of Home Scenery. Views of Wicklow and Killarney, from original drawings by T. L. Rowbotham. ... With descriptive notes. Compiled by ... W. J. Loftie ... Second edition",1
14767984,The Rover. A poem,0
14768030,"Tamworth Castle. Its foundation, its history, and its lords [New and enlarged edition.]",1
14768086,"A Guide to ... Hadleigh ... Third edition, an abridgment",1
14768138,The History of the Royal Pavilion at Brighton,1
14768142,"Guide to Wimborne Minster, its monuments and curiosities",1
14768144,"Lectures on Socialism, etc",1
14768203,"The Early History of Spennymoor. A paper read ... at a meeting of members of the Spennymoor Church Institute, etc",1
14768206,"The Pictorial Guide to Castle Rising, Norfolk ... Illustrated with five engravings",1
14768208,On a plastic operation for the restoration of the lower lip,1
14768252,Memorials of Stamford: past and present,1
14768271,"The Matlock, Buxton and Castleton Guide, containing concise accounts of these and other remarkable places ... in the ... County of Derby",1
14774002,"The Shepherdess of Aranville: or, Father and daughter. A pathetic tale. In three acts",0
14774009,The Legend of the Xmas Rose ... Illustrated by Delapoer Downing,0
14774012,Handbook to Hitchin and the neighbourhood ... Second edition,1
14774063,"Squibs and Crackers, in verse or worse. Partly in the Lancashire dialect",0
14774072,"Where to buy at Frome. An illustrated local trades' review. By the Editor of the 'Agents' Guide,' ... with illustrations of the West of England",1
14774122,"Lapsus Calami [Verses.] By J. K. S [tephen] . New [Third] edition, with considerable omissions and additions. L.P",0
14774123,Doon Lyrics,0
14774194,"Letters from Sicily. Written in the year 1798, etc",1
14774207,Ballads and Poems,0
14796195,"Afhandling om krossverk för jernmalm, etc",1
14796218,"Three Months in Cyprus during the winter of 1878-9. A paper, etc",1
