book_title,genre
The Iron Heel,Fiction
Brood of the Witch-Queen,Fiction
The Napoleon of Notting Hill,Fiction
Emily of New Moon,Fiction
The Sea Fairies,Fiction
Lilith,Fiction
The Enchanted Castle,Fiction
Pollyanna,Fiction
Anthem,Fiction
Anne of the Island,Fiction
Le roman du masque de fer,Fiction
The Road to Oz,Fiction
The Canterville Ghost,Fiction
The food of the gods and how it came to earth,Fiction
Martin Eden,Fiction
The Last Man,Fiction
Anne of Windy Poplars,Fiction
The blue castle,Fiction
Phantastes,Fiction
Just So Stories,Fiction
A Modern Utopia,Fiction
The Complete Life and Adventures of Santa Claus,Fiction
The King in Yellow,Fiction
Jo's Boys,Fiction
Herland,Fiction
Of Human Bondage,Fiction
Dorothy and the Wizard in Oz,Fiction
Carmilla,Fiction
The Power of Darkness,Fiction
The Phoenix and the Carpet,Fiction
The Mystery of the Blue Train,Fiction
Мастер и Маргарита,Fiction
Kim,Fiction
Daddy-Long-Legs,Fiction
The Man in the Brown Suit,Fiction
"Under the Greenwood Tree or, The Mellstock quire",Fiction
The Beautiful and Damned,Fiction
A Little Princess,Fiction
A Princess of Mars,Fiction
On the Beach,Fiction
The Jewel of Seven Stars,Fiction
Shirley,Fiction
An American Tragedy,Fiction
Far From the Madding Crowd,Fiction
The Story of the Amulet,Fiction
Sult,Fiction
The Book of Dragons,Fiction
The World Set Free,Fiction
Howards End,Fiction
The Picture of Dorian Gray,Fiction
She,Fiction
Voyage au Centre de la Terre,Fiction
The First Men in the Moon,Fiction
The Invisible Man,Fiction
Mrs. Dalloway,Fiction
"Momo oder Die seltsame Geschichte von den Zeit-Dieben und von dem Kind, das den Menschen die gestohlene Zeit zurückbrachte",Fiction
The Sun Also Rises,Fiction
Kidnapped,Fiction
"Villette, a novel",Fiction
The Silmarillion,Fiction
The Secret of Chimneys,Fiction
Der Zauberberg,Fiction
Eva Luna,Fiction
La Peste,Fiction
The Old Curiosity Shop,Fiction
White Fang,Fiction
The Silver Chair,Fiction
The Scarlet Pimpernel,Fiction
The Innocence of Father Brown (Father Brown Mystery),Fiction
The Riddle of the Sands,Fiction
Ordeal by Innocence,Fiction
Le fantôme de l'opéra,Fiction
Ivanhoe,Fiction
A Room with a View,Fiction
The Valley of Fear,Fiction
It Can't Happen Here,Fiction
The Last Battle,Fiction
Anne of Avonlea,Fiction
After the Funeral,Fiction
The Hollow,Fiction
Tik-Tok of Oz,Fiction
Бѣсы,Fiction
Demian,Fiction
Murder on the Links,Fiction
The Twits,Fiction
The Lost World,Fiction
Sons and Lovers,Fiction
The Magician's Nephew,Fiction
The Legend of Sleepy Hollow,Fiction
Der Steppenwolf,Fiction
Memoirs of Fanny Hill,Fiction
The Godfather,Fiction
Appointment with Death,Fiction
The Time Machine,Fiction
Murder in Mesopotamia,Fiction
La père Goriot,Fiction
Ulysses,Fiction
His Last Bow [8 stories],Fiction
Poirot investigates,Fiction
The Pickwick Papers,Fiction
The Marvelous Land of Oz,Fiction
Cards on the Table,Fiction
Lady Susan,Fiction
Cranford,Fiction
The Prince and the Pauper,Fiction
The Woman in White,Fiction
Whose Body?,Fiction
Good wives,Fiction
4:50 from Paddington,Fiction
The Club of Queer Trades,Fiction
Women in Love,Fiction
Curtain,Fiction
Vanity Fair,Fiction
A Connecticut Yankee in King Arthur's Court,Fiction
They Do It with Mirrors,Fiction
Мы,Fiction
Babbitt,Fiction
The Secret Adversary,Fiction
Works (Awakening / Beyond the Bayou / Desiree's Baby / Kiss / Locket / Ma'ame Pelagie / Pair of Silk Stockings / Reflection / Respectable Woman),Fiction
Rebecca,Fiction
My Ántonia,Fiction
The Red Pony,Fiction
The Murders in the Rue Morgue,Fiction
The House of the Seven Gables,Fiction
The Pearl,Fiction
The water-babies: a fairy tale for a land-baby,Fiction
Anne of Green Gables,Fiction
The War of the Worlds,Fiction
One Flew Over the Cuckoo's Nest,Fiction
Les Liaisons dangereuses,Fiction
The Big Sleep,Fiction
2001,Fiction
Sparkling Cyanide,Fiction
De la terre à la lune,Fiction
Casino Royale,Fiction
At Bertram's Hotel,Fiction
The Story of Doctor Dolittle,Fiction
Les Trois Mousquetaires,Fiction
The Awakening,Fiction
Die Blechtrommel,Fiction
The Fellowship of the Ring,Fiction
Noli Me Tangere,Fiction
The Mirror Crack'd from Side to Side,Fiction
When the Sleeper Awakes,Fiction
The Martian Chronicles,Fiction
The Great God Pan,Fiction
Lust for Life,Fiction
Charlie and the Great Glass Elevator,Fiction
The Daughter of Time,Fiction
The Strange Case of Dr. Jekyll and Mr. Hyde,Fiction
The Waves,Fiction
Daisy Miller,Fiction
The Bell Jar,Fiction
The Horse and His Boy,Fiction
The Sign of Four,Fiction
The Secret Agent,Fiction
Ethan Frome,Fiction
The Jungle Book,Fiction
The Witches,Fiction
